,,Banner,Code
#page,,Age 18-29,A
,,Age 18-29,A
PEERLESS INSIGHTS,,Age 18-29,A
DTV-010 Feature Prioritization,,Age 18-29,A
August 2025,,Age 18-29,A
UNWEIGHT,,Age 18-29,A
,,Age 18-29,A
Table 1,,Age 18-29,A
hGender. What is your gender?,,Age 18-29,A
Base: Total Respondents,955,Age 18-29,A
,,Age 18-29,A
Male,500,Age 18-29,A
,52.36%,Age 18-29,A
Female,455,Age 18-29,A
,47.64%,Age 18-29,A
Sigma,955,Age 18-29,A
,100.00%,Age 18-29,A
,,Age 18-29,A
#page,,Age 30-39,B
,,Age 30-39,B
PEERLESS INSIGHTS,,Age 30-39,B
DTV-010 Feature Prioritization,,Age 30-39,B
August 2025,,Age 30-39,B
UNWEIGHT,,Age 30-39,B
,,Age 30-39,B
Table 1,,Age 30-39,B
hGender. What is your gender?,,Age 30-39,B
Base: Total Respondents,1121,Age 30-39,B
,,Age 30-39,B
Male,575,Age 30-39,B
,51.29%,Age 30-39,B
Female,546,Age 30-39,B
,48.71%,Age 30-39,B
Sigma,1121,Age 30-39,B
,100.00%,Age 30-39,B
,,Age 30-39,B
#page,,Male,C
,,Male,C
PEERLESS INSIGHTS,,Male,C
DTV-010 Feature Prioritization,,Male,C
August 2025,,Male,C
UNWEIGHT,,Male,C
,,Male,C
Table 1,,Male,C
hGender. What is your gender?,,Male,C
Base: Total Respondents,1704,Male,C
,,Male,C
Male,1704,Male,C
,100.00%,Male,C
Female,0,Male,C
,0.00%,Male,C
Sigma,1704,Male,C
,100.00%,Male,C
,,Male,C
#page,,S4r1 = 1,D
,,S4r1 = 1,D
PEERLESS INSIGHTS,,S4r1 = 1,D
DTV-010 Feature Prioritization,,S4r1 = 1,D
August 2025,,S4r1 = 1,D
UNWEIGHT,,S4r1 = 1,D
,,S4r1 = 1,D
Table 1,,S4r1 = 1,D
hGender. What is your gender?,,S4r1 = 1,D
Base: Total Respondents,1573,S4r1 = 1,D
,,S4r1 = 1,D
Male,848,S4r1 = 1,D
,53.91%,S4r1 = 1,D
Female,725,S4r1 = 1,D
,46.09%,S4r1 = 1,D
Sigma,1573,S4r1 = 1,D
,100.00%,S4r1 = 1,D
,,S4r1 = 1,D
#page,,S4r1 = 0,E
,,S4r1 = 0,E
PEERLESS INSIGHTS,,S4r1 = 0,E
DTV-010 Feature Prioritization,,S4r1 = 0,E
August 2025,,S4r1 = 0,E
UNWEIGHT,,S4r1 = 0,E
,,S4r1 = 0,E
Table 1,,S4r1 = 0,E
hGender. What is your gender?,,S4r1 = 0,E
Base: Total Respondents,1866,S4r1 = 0,E
,,S4r1 = 0,E
Male,856,S4r1 = 0,E
,45.87%,S4r1 = 0,E
Female,1010,S4r1 = 0,E
,54.13%,S4r1 = 0,E
Sigma,1866,S4r1 = 0,E
,100.00%,S4r1 = 0,E
,,S4r1 = 0,E
#page,,Age 18-29,A
,,Age 18-29,A
PEERLESS INSIGHTS,,Age 18-29,A
DTV-010 Feature Prioritization,,Age 18-29,A
August 2025,,Age 18-29,A
UNWEIGHT,,Age 18-29,A
,,Age 18-29,A
Table 2,,Age 18-29,A
"S3. We are interested in getting feedback from people who work in a variety of areas. Do you, or does anyone in your family or household work in any of the following industries?",,Age 18-29,A
Base: Total Respondents,955,Age 18-29,A
,,Age 18-29,A
"In advertising, public relations, or journalism",0,Age 18-29,A
,0.00%,Age 18-29,A
In marketing or market research,0,Age 18-29,A
,0.00%,Age 18-29,A
For a telecommunications company,0,Age 18-29,A
,0.00%,Age 18-29,A
In financial services/banking,36,Age 18-29,A
,3.77%,Age 18-29,A
In education,101,Age 18-29,A
,10.58%,Age 18-29,A
In hospitality/travel/tourism,47,Age 18-29,A
,4.92%,Age 18-29,A
In government/public service,55,Age 18-29,A
,5.76%,Age 18-29,A
In retail,135,Age 18-29,A
,14.14%,Age 18-29,A
None of the above ,653,Age 18-29,A
